smiles	user_id	start_time	end_time	undo_time
C(C(CC)C)1CCCCC1	2	2017-03-03 14:28:26	2017-03-03 14:28:44	0
C(CC)1=CC=CC=C1	2	2017-03-03 14:28:44	2017-03-03 14:45:29	0
C1=CC=CC=C1C(OC)C(C)(C)C	2	2017-03-03 14:45:29	2017-03-06 14:11:30	0
O1C=CC=C1COC	2	2017-03-06 14:11:30	2017-03-06 14:11:55	1
C1=CC=CC=C1C(OC)C	2	2017-03-06 14:11:55	2017-03-06 14:12:22	0
C1=CC=CC=C1C(OCC#C)C	2	2017-03-06 14:12:22	2017-03-06 14:12:22	1
C1=CC=CC=C1C(OCCCCC=C)C1=CC=CC=C1	2	2017-03-06 14:12:22	2017-03-06 14:12:46	0
C1=CC(OC)=CC=C1C(OCCCCC(C)=C)C	2	2017-03-06 14:12:46	2017-03-06 14:13:27	0
C1=CC=CC(Br)=C1C(OCC)C	2	2017-03-06 14:13:27	2017-03-06 14:13:58	0
C1=CC=CC=C1C(OCC(=O)OCC)C1=CC=CC=C1	2	2017-03-06 14:13:58	2017-03-06 14:14:29	0
C1=CC=CC=C1C(OC(C)(C)C)C1=CC=CC=C1	2	2017-03-06 14:14:29	2017-03-06 14:15:01	0
C1=CC(N)=CC=C1CCC1=CC=C(N)C=C1	3	2017-03-06 14:22:23	2017-03-06 14:22:53	0
C(C(C)C)1=CC(Br)=CC(Br)=C1	3	2017-03-06 14:22:53	2017-03-06 14:23:16	0
C(N)1=CC=C(C)N=C1	3	2017-03-06 14:23:16	2017-03-06 14:23:45	0
C(OC)1C=CC(C#CC2=CC=C(CC=O)C=C2)=CC=1	3	2017-03-06 14:23:45	2017-03-06 14:24:54	1
O1C(C(OC)OC)COCC1C(OC)OC	3	2017-03-06 14:24:54	2017-03-06 14:25:36	0
C(CC)1=CC=CC=C1	3	2017-03-06 14:25:36	2017-03-06 14:26:21	0
C1(C=C(C(C)(C)C)C=CC=1)C(=O)O	3	2017-03-06 14:26:21	2017-03-06 14:26:21	0
P(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	3	2017-03-06 14:26:21	2017-03-06 14:26:48	0
C1C=CC=C(C2C=CC=CC=2P)C=1P	3	2017-03-06 14:26:48	2017-03-06 14:27:29	0
C1C(F)C(F)CC(F)C1F	3	2017-03-06 14:27:29	2017-03-06 14:27:59	1
CC([C@@H](N)C(=O)O)C	3	2017-03-06 14:27:59	2017-03-06 14:28:45	0
C1(=CC=CC=C1)C(=O)C(C1=CC=CC=C1)CC=C	4	2017-03-06 14:36:06	2017-03-06 14:36:27	0
C(C1=CC=CC=C1)=C=C(C1=CC=CC=C1)C1=C(C)C=C(C)C=C1C	4	2017-03-06 14:36:27	2017-03-06 14:37:27	0
CC(=O)C(C=C)(CC#C)C(=O)C	4	2017-03-06 14:37:27	2017-03-06 14:38:03	0
C1=CC(C2=C(C(C)C)C=CC=C2C(C)C)C([Au]Cl)C1C1=C(C(C)C)C=CC=C1C(C)C	4	2017-03-06 14:38:03	2017-03-06 14:38:55	1
C1C(C2=CC=CC=C2)C(C(C)C)N=C2SC3=CC=CC=C3N12	4	2017-03-06 14:38:55	2017-03-06 14:39:35	1
C1(C=CC=CC=1)C#CC(C1C=CC=CC=1)O	4	2017-03-06 14:39:35	2017-03-06 14:40:09	0
C(#CC(C1C=CC=CC=1)OC(=O)C)C1C=CC=CC=1	4	2017-03-06 14:40:09	2017-03-06 14:40:40	0
C(C1=CC=CC=C1)#CC(OC(=O)OC)C1=CC=CC=C1	4	2017-03-06 14:40:40	2017-03-06 14:41:06	0
C(#CC1C=CC=CC=1)C1C=CC=CC=1	4	2017-03-06 14:41:06	2017-03-06 14:41:42	0
OCC=C	4	2017-03-06 14:41:42	2017-03-06 14:41:56	0
C1=CC=CC(Br)=C1NC1=CC=CC=C1	5	2017-03-06 14:47:35	2017-03-06 14:47:54	1
C1=C(C)C=CC2OC3=CC=C(C)C=C3C(=O)C12	5	2017-03-06 14:47:54	2017-03-06 14:48:27	0
C1=CC=C(C)N=C1C1N=C(C2=CC=CC=C2)N=N1	5	2017-03-06 14:48:27	2017-03-06 14:48:53	0
N1C=C(OC)C=N1	5	2017-03-06 14:48:53	2017-03-06 14:49:08	0
C1=CC=CC2C3=C(C=CC=C3)P(=O)(C3=CC=CC=C3)C1=2	5	2017-03-06 14:49:08	2017-03-06 14:49:37	0
C(=O)1[C@@H](C2=CC=CC=C2)[C@H](C2=CC=CC=C2)C=C(C(F)(F)F)O1	6	2017-03-06 14:52:04	2017-03-06 14:52:56	1
C(C1=CC=CC=C1)C(=O)N1C=CN=C1	6	2017-03-06 14:52:56	2017-03-06 14:53:24	0
C(=O)1C(C2=CC=CC=C2)C(C2=CC=CC=C2)C=C2C3=CC=CC=C3S(=O)(=O)N12	6	2017-03-06 14:53:24	2017-03-06 14:54:04	0
C1=C(OC)C=CC(CC(N2C=CN=C2)=O)=C1	6	2017-03-06 14:54:04	2017-03-06 14:54:44	1
C(=C/C1=CC=CC=C1)\\C(=O)C(F)(F)F	6	2017-03-06 14:54:44	2017-03-06 14:55:21	1
C12=CC=CC=C1SC1=NC(C3=CC=CC=C3)CN12	6	2017-03-06 14:55:21	2017-03-06 14:55:49	0
C(=O)(OCC)/C=C/C(=N/S(C1=CC=CC=C1)(=O)=O)/C1=CC=CC=C1	6	2017-03-06 14:55:49	2017-03-06 14:56:37	0
N1C2=CC=CC=C2[Se]C1=S	6	2017-03-06 14:56:37	2017-03-06 14:57:06	0
C1=CC=CC2[Se]C(Cl)=NC12	6	2017-03-06 14:57:06	2017-03-06 14:57:29	0
C(C1=CC=CC=C1)C(=O)OC1=C(Cl)C=C(Cl)C=C1Cl	6	2017-03-06 14:57:29	2017-03-06 14:58:02	0
